Parque Industrial Polo Inn
Parque Industrial San Martin Obispo II
Parque Industrial Tres Ramos
Parque Microindustrial Cuautitlan Izcali
Parque Industrial Campus Cuautitlan Izcali
Cpa Logistic Center San Martin Obispo
Parque Industrial Cuatitlan (Ocpl)
Prologis Encino Logistic Center
Prologis Izcalli
Prologis Mezquite Logistic Center
La Laguna Industrial Park
Prologis Park Izcalli IV
Prologis Terminal Intermodal Ladero
Puente MÈxico I
Puente MÈxico II
Puente MÈxico III
Xhala Park
World Park Cuautitl„ÅN
Parque Industrial Tec·mac
Zona Industrial Tecamac Zona Norte
Conjunto Industrial Cuautitlan I
Conjunto Industrial Cuautitlan II
Parque Industrial La Palma
Parque Industrial El Terremoto
Cpa Logistic Center Cuautitlan
Cpa Logistic Center Estado De Mexico
Cuautipark I
Cuautipark II
Parque Industrial El Sabino
Prologis Agave Logistic Center
Prologis Laurel
Logicenter Cuautitl·n Xhala
Parque Industrial San Lorenzo
Parque LogÌstico El Peral
Parque Industrial Coacalco
Coacalco Park
Macrocentro Tultitl·n
Prologis Park Alamos
Parque Industrial Cartagena
Parque Industrial San Miguel Tultitl·n
Parque Industrial Tultitl·n
Prologis Park Jlp
Zona Industrial Corredor LecheriaçA Cuautitlan
Zona Industrial Corredor Lopez Portillo Tultitlan
Zona Industrial Independencia
Zona Industrial Recursos Hidr·ulicos
Evolution Park Cartagena
Mexiquense Park
Prologis Fresno
Tultiparki
Tultipark Ii (La PurÌsima)
Tultipark III
Tultipark IV
Tultitl·n II
Macrocentro Tultitl·n II
Macrocentro Tultitlan III
Tultipark 7
Tultipark 8
Tultipark 9
World Park Tultitlan I
World Park Tultitlan II
Multialmacenes Logisticos Tultitl·n
Multipark
Fraccionamiento Industrial Esfuerzo Nacional
Fraccionamiento Industrial Morelos
Fraccionamiento Industrial R„östica Xalostac
Fraccionamiento Industrial Santa Maria Tulpetlac
Fraccionamiento Industrial Xalostac
Zona Industrial Cerro Gordo
Zona Industrial Guadalupe Victoria
Zona Industrial Urbana Y/O Cuauhtemoc Xalostoc
Zona Industrial Jajalpa
Zona Industrial Santa Clara Coatitla
Sb Parque Industrial
Parque Industrial Ixtapaluca
Parque Industrial La Espinita
Logistics And Distribution Bussines Park (Ldbp)
Zona Industrial Chalco
Zona Industrial Valle De Chalco Solidaridad
Advance Tepotzotl„ÅN I
Advance Tepotzotl„ÅN II
Convento City Parki
Logipark Xochitla
Tepozopark
Parque Industrial Xolache
Pit Parque Industrial Texcoco
Centro Industrial Tlalnepantla
Fraccionamiento Industrial Barrientos
Fraccionamiento Industrial La Loma
Fraccionamiento Industrial La Presa
Fraccionamiento Industrial Las Armas
Fraccionamiento Industrial San Lorenzo
Fraccionamiento Industrial San Nicol„ÅS
Parque Industrial San Pablo Xalpa
Fraccionamiento Industrial Tabla Honda
Fraccionamiento Industrial Tlaxcolpan
Fraccionamiento Industrial Los Reyes
Fraccionamiento Industrial NiÒos Heroes
Fraccionamiento Industrial Puente De Vigas
Fraccionamiento Industrial San Buenaventura
Fraccionamiento Industrial San Jeronimo Tepetlacalco
Tlalne Park
Zona Industrial Puente De Vigas
Ceylanpark
Cpa Distribution Tlalnepantla Center
Cpa Logistics Center Tlalnepantla
Gustavo Baz Park
Tlanepark II
Tlanepark III
Tlanepark IV
Citypark
Ferropark Ii
Kimex Park Tlalne
Tlanepark
World Park Tlalnepantla I
World Park Tlalnepantla II
World Park Tlalnepantla
Premium Park Tultepeci
Premium Park Tultepec II
Tule Industrial Park
Tule Industrial Park III
Tule Industrial Park III
World Park Tultepec
Tultepark
Parque Industrial Nezahualcoyotl
Fraccionamiento Industrial Alce Blanco
Fraccionamiento Industrial La Perla
Fraccionamiento Industrial Naucalpan
Fraccionamiento Industrial San Andres A Toto
Fraccionamiento Industrial Tlatilco
Parque Industrial Naucalpan
Parque Industrial Siporex I. Naucalpan
Proximity Parks Naucalpan
Parque Industrial Santiago Tianguistenco I Y II
Parque Industrial Pyme Capulhuac
Parque Industrial PyÓúÓï San Nicol„ÅS Tlazala
Zona Industrial Ocoyoacac (Alto Lerma)
Zona Industrial Ocoyoacac
Parque Industrial San Martin
Parque Industrial Arco 57
