nombre,latitud,longitud
Proximity Parks Naucalpan,19.480026,-99.223283
Puente México I,19.700753,-99.229399
Puente México Ii,19.70023,-99.224906
Puente México Iii,19.70023,-99.224906
Sb Parque Industrial,19.704525,-99.190543
Tepotzotlan Park,19.709968,-99.206915
Tepozopark,19.731672,-99.204136
Tepozpark I,19.739823,-99.226275
Tepozpark Ii,19.73624,-99.225065
Tepozpark Iii,19.737482,-99.223349
Tepozpark Iv,19.73176,-99.21291
Tepozpark V,19.732715,-99.209645
Tlalne Park,19.578526,-99.209945
Tlanepark,19.553207,-99.178332
Tlanepark Ii,19.58927,-99.211281
Tlanepark Iii,19.520011,-99.119531
Tlanepark Iv,19.587049,-99.198159
Toluca Park,19.292374,-99.535416
Tolucapark Doña Rosa,19.290465,-99.544244
Tule Industrial Park,19.651152,-99.150105
Tule Industrial Park Ii,19.649927,-99.150748
Tule Industrial Park Iii,19.647519,-99.145123
Tultepark,19.654705,-99.148409
Tultipark 7,19.634282,-99.153412
Tultipark 8,19.632738,-99.153272
Tultipark 9,19.621236,-99.154308
Tultipark Ii (La Purísima),19.634067,-99.152229
Tultipark Iii,19.63961,-99.145479
Tultipark Iv,19.64289,-99.14474
Tultiparki,19.618461,-99.185608
Tultitlán Ii,19.595918,-99.182465
World Park Cuautitlán,19.704191,-99.190854
World Park Lerma,19.28853,-99.529115
World Park Tlalnepantla,19.5374052,-99.1938772
World Park Tlalnepantla I,19.582512,-99.194876
World Park Tlalnepantla Ii,19.535399,-99.211123
World Park Tultepec,19.679317,-99.144287
World Park Tultitlan I,19.655831,-99.16327
World Park Tultitlan Ii,19.645908,-99.136748
Xhala Park,19.688962,-99.180503
Zona Industrial Cerro Gordo,19.549761,-99.05249
Zona Industrial Chalco,19.251617,-98.886954
Zona Industrial Corredor Lechería Cuautitlan,19.622746,-99.1836
Zona Industrial Corredor López Portillo Tultitlan,19.6197,-99.181241
Zona Industrial Guadalupe Victoria,19.622736,-99.067706
Zona Industrial Independencia,19.619085,-99.173872
Zona Industrial Jajalpa,19.588666,-99.034321
Zona Industrial Ocoyoacac,19.273272,-99.482766
Zona Industrial Ocoyoacac (Alto Lerma),19.273021,-99.483262
Zona Industrial Prof. Cristobal Higuera Y/ Atizapán Centro,19.567887175566717,-99.26117917653865
Zona Industrial Puente De Vigas,19.514505,-99.216248
Zona Industrial Recursos Hidráulicos,19.622456,-99.177488
Zona Industrial Santa Clara Coatitla,19.533551,-99.069131
Zona Industrial Tecamac Zona Norte,19.775,-98.975
Zona Industrial Urbana Y/O Cuauhtémoc Xalostoc,19.516154,-99.0830309
Zona Industrial Valle De Chalco Solidaridad,19.30751,-98.963647
