N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"41","MARAVILLAS PARK","TOLUCA","BLVD. MIGUEL ALEMÁN VALDEZ NO 300, SAN MATEO OTZACATIPAN, C. P 50220, TOLUCA, MÉXICO","PRIVADO", 19.347131, -99.588845
"42","TOLUCAPARK DOÑA ROSA","TOLUCA","AV. DE LA INDUSTRIA FARMACEUTICA 5. PARQUE INDUSTRIAL EX HACIENDA DOÑA ROSA, 52004 LERMA, MÉXICO.","PRIVADO", 19.290465, -99.544244
"43","ADVANCE TOLUCA","TOLUCA","AVENIDA INDUSTRIA AUTOMOTRIZ 128 LOTE C, EL COECILLO, TOLUCA, MÉXICO","PRIVADO", 19.296003, -99.575542
"44","ESTRELLA PARK","TOLUCA","AVENIDA PRIMERO DE MAYO 1806. SANTA ANA TLAPALTITLÁN, TOLUCA, MEXICO.","PRIVADO", 19.301458, -99.612171
"45","PROLOGIS PARK TOLUCA II","TOLUCA","CARRETERA TOLUCA NAUCALPAN KM 53. SAN MATEO OTZACATIPAN, 50200 TOLUCA, MÉXICO.","PRIVADO", 19.369675, -99.565844
"46","CORREDOR INDUSTRIAL LERMA","LERMA","CARR. MEXICO TOLUCA KM. 52.5 ENTRE AV. DE LAS PARTIDAS Y BLVD. MIGUEL ALEMAN VALDÉZ, COL ISIDRO FABELA, LERMA, MÉXICO, C.P. 52004.","MUNICIPALIZADO", 19.289741, -99.551966
"47","LOGISTIC CENTER TOLUCA","LERMA","CARRETERA MÉXICO-TOLUCA KM. 53.9. COL ISIDRO FABELA, LERMA, MEXICO C.P. 52004.","PRIVADO", 19.289085, -99.543958
"48","PARQUE INDUSTRIAL CERRILLO I","LERMA","AV. CAMINO DE LAS PARTIDAS S/N, KM. 1.5 COL ISIDRO FABELA, LERMA MÉXICO, C.P. 52004.","MUNICIPALIZADO", 19.296566, -99.539353
"49","PARQUE INDUSTRIAL CERRILLO II","LERMA","AV. DE LAS PARTIDAS S/N, KM. 3 CARR. AL CERRILLO, COL ISIDRO FABELA LERMA, MÉXICO, C.P. 50004.","MUNICIPALIZADO", 19.308661, -99.531326
"50","PARQUE INDUSTRIAL FRISA (DONA ROSA)","LERMA","CARR. MÉXICO-TOLUCA KM. 53.5. COL SIDRO FABELA, LERMA, MÉXICO, CP 52004.","PRIVADO", 19.288357, -99.537218
"51","PARQUE INDUSTRIAL LERMA","LERMA","CARR. MÉXICO-TOLUCA KM. 52. ENTRE AV. DE LA INDUSTRIA NORTE Y AV. DE LA INDUSTRIA SUR, COL ISIDRO FABELA, LERMA, MÉXICO, С.Р. 52000.","MUNICIPALIZADO", 19.289923, -99.552074
"52","PROLOGIS PARK TOLUCA","LERMA","AV. DE LAS PARTIDAS #12, COL ISIDRO FABELA, LERMA, MÉXICO, С.Р. 52004,","PRIVADO", 19.297611, -99.546366
"53","LERMA LITOS","LERMA","AVENIDA DE LA INDUSTRIA AUTOMOTRÍZ #31, LOTE 10 PARQUE INDUSTRIAL LERMA, LERMA, MÉXICO.","PRIVADO", 19.292462, -99.553633
"54","LERMA PARK I","LERMA","EMILIANO ZAPATA 7. LERMA, PARQUE INDUSTRIAL LERMA, 52004, LERMA MÉXICO.","PRIVADO", 19.291388, -99.545393
"55","LERMA PARK II","LERMA","AVENIDA MIGUEL HIDALGO 46, LA ESTACIÓN, 52006, LERMA, MÉXICO.","PRIVADO", 19.287632, -99.520752
"56","POLARIS","LERMA","CAMINO A EL CERRILLO KM 55 S/N PARQUE INDUSRIAL LERMA, C. P. 52100 LERMA, MÉXICO","PRIVADO", 19.308066, -99.557133
"57","PARQUE INDUSTRIAL LA BOMBA","LERMA","AV. DE LAS PARTIDAS S/N PARQUE INDUSTRIAL LERMA, 52000, LERMA DE VILLADA, MÉXICO.","PRIVADO", 20.563507, -100.249748
"58","CONDOTER PARK","LERMA","EMILIANO ZAPATA NO. 59. PARQUE INDUSTRIAL LERMA, MÉXICO.","PRIVADO", 19.305699, -99.553429
"59","LA BOMBA","LERMA","AV. DE LAS PARTIDAS NO. 161. FRANCISCO I MADERO, 52106 SAN MATEO ATENCO, MÉXICO.","MUNICIPALIZADO", 19.308779, -99.537436
"60","LOGICENTER LERMA I","LERMA","AVENIDA DE LAS PARTIDAS NO. 3. COLONIA PARQUE INDUSTRIAL LERMA, MÉXICO.","PRIVADO", 19.316996, -99.542229
"61","LOGICENTER LERMA II","LERMA","RODOLFO PATRÓN NO. 10. PARQUE INDUSTRIAL. 52004 LERMA DE VILLADA MEX.","PRIVADO", 19.291061, -99.530099
"62","PARQUE CORPORATIVO","LERMA","MIGUEL ALEMAN AEROPUERTO 154. FRANCISCO I MADERO, 52106 SAN MATEO ATENCO, MEXICO.","PRIVADO", 19.3022251, -99.559506
"63","PARQUE INDUSTRIAL ZIPOREX II, LERMA","LERMA","JOSEFA ORTIZ DE DOMÍNGUEZ 54 FRANCISCO MADERO, 52106 SAN MATEO ATENCO, MÉXICO.","PRIVADO", 19.310843, -99.558341
"64","PARQUE INDUSTRIAL ZIPOREX III, TOLUCA","LERMA","EMILIANO ΖΑΡΑΤΑ NO. 21, COLONIA SANTA ROSA, LERMA, MÉXICO.","PRIVADO", 19.302260, -99.551861
