N,PARQUE INDUSTRIAL,MUNICIPIO,DIRECCION,ADMINISTRACION,LATITUD,LONGITUD
"210","FRACCIONAMIENTO INDUSTRIAL TLATILCO","NAUCALPAN DE JUÁREZ","AV. PRIMERO DE MAYO Y PERIFÉRICO NORTE, COL. SAN LUIS TLATILCO, NAUCALPAN, MÉXICO, C.P. 53630.","MUNICIPALIZADO", 19.466395, -99.240465
"211","PARQUE INDUSTRIAL NAUCALPAN","NAUCALPAN DE JUÁREZ","ENTRE AVENIDA DE LOS ARCOS. CALLE INDUSTRIA TEXTIL Y AVENIDA UNIVERSIDAD, COL ZONA INDUSTRIAL, NAUCALPAN, MÉXICO C.P.53370.","MUNICIPALIZADO", 19.464239, -99.215222
"212","PARQUE INDUSTRIAL SIPOREX I. NAUCALPAN","NAUCALPAN DE JUAREZ","SIPOREX NO. 2, ALCE BLANCO, 53370 NAUCALPAN DE JUÁREZ, MÉXICO","PRIVADO", 19.479945, -99.226203
"213","PROXIMITY PARKS NAUCALPAN","NAUCALPAN DE JUÁREZ","CAM A LA MONTAÑA 176, ALCE BLANCO, 53370 NAUCALPAN DE JUÁREZ, MÉXICO.","PRIVADO", 19.480026, -99.223283
"214","PARQUE INDUSTRIAL SANTIAGO TIANGUISTENCO I Y II","TIANGUISTENCO","AV. LIC. BENITO JUÁREZ Y AV. CARLOS HANK GONZÁLEZ S/N, COL. PARQUE INDUSTRIAL SANTIAGO TIANGUISTENCO, MÉXICO, C.P 52600.","MUNICIPALIZADO", 19.173149, -99.467640
"215","PARQUE INDUSTRIAL PYME CAPULHUAC","CAPULHUAC","CARR. MEX. 36. ROJASTITLÁN, KM 10.5 COL EL PEDREGAL DE GUADALUPE HIDALGO, CAPULHUAC, MÉXICO, C.P. 52700.","PRIVADO", 19.217002, -99.465956
"216","PARQUE INDUSTRIAL PYΜΕ SAN NICOLÁS TLAZALA","CAPULHUAC","CARR OCOYOACAC-SANTIAGO KM 9.5 SAN NICOLÁS TLAZALA, CAPULHUAC, MÉXICO C.P. 52700","PRIVADO", 19.217001, -99.465803
"217","ZONA INDUSTRIAL OCOYOACAC (ALTO LERMA)","OCOYOACAC","AV ACUEDUCTO (CARRETERA AMOMOLULCO-OCOYOACAC) DE LA AUTOPISTA MEXICO-TOLUCA A LA AV. OCOYOACAC, COL. PARQUE INDUSTRIAL, OCOYOACAC, MEXICO. C.P. 52740.","MUNICIPALIZADO", 19.273021, -99.483262
"218","ZONA INDUSTRIAL OCOYOACAC","OCOYOACAC","CARR AMOMOLULCO-OCOYOACAC KM. 0.2. PARQUE INDUSTRIAL LAS PLAZAS, COL. PARQUE INDUSTRIAL. OCOYOACAC, MÉXICO C.P. 52740.","PRIVADO", 19.273272, -99.482766
"219","PARQUE INDUSTRIAL SAN MARTIN","OCOYOACAC","RIO OCOYOACAC 435. SANTIAGUITO, 52755 OCOYOACAC. MÉXICO","PRIVADO", 19.273252, -99.472853
"220","PARQUE INDUSTRIAL ARCO 57","SOYANIQUILPAN","UBICADO SOBRE LA AUTOPISTA ARCO NORTE Y LA UTOPISTA MEXICO-QUERÉTARO.","PRIVADO", 19.997035, -99.521058
